timestamp,station_id,location_type,vehicle_id,vehicle_type,arrival_time,charging_start_time,charging_end_time,waiting_time,battery_capacity_kWh,initial_soc,final_soc,energy_consumed_kWh,charging_power_kW,charging_duration,queue_length,station_load,electricity_price,renewable_energy_ratio,traffic_density,weather_condition,day_of_week,time_slot,charging_demand,assigned_charger_id,charging_priority,optimization_reward,soc_increase,arrival_hour,day_type,charging_cost,waiting_category
2025-01-01 00:00:00,ST004,Urban,EV10000,Two-Wheeler,2025-01-01 00:00:00,2025-01-01 00:12:00,2025-01-01 04:33:00,12,60,48.98455001363846,99.86557637386134,30.52861581613373,7,261.67384985257485,4,15.16167224336399,13.66,0.2803345035229627,Low,Cloudy,Wednesday,Off-Peak,17.242398021324444,CH4,Low,-8.622299342983919,50.88102636022288,0,Weekday,417.02089204838677,Medium
2025-01-01 00:15:00,ST005,Urban,EV10001,Two-Wheeler,2025-01-01 00:15:00,2025-01-01 00:23:00,2025-01-01 01:12:00,8,100,58.49549260809972,100.0,41.50450739190028,50,49.91651800334025,3,20.99721943430511,5.47,0.3921266556524377,Low,Rainy,Wednesday,Off-Peak,18.324932838608152,CH9,Low,-1.935644217287888,41.50450739190028,0,Weekday,227.02965543369453,Short
2025-01-01 00:30:00,ST019,Highway,EV10002,Car,2025-01-01 00:30:00,2025-01-01 00:41:00,2025-01-01 01:35:00,11,75,35.71172192068058,95.73346387809404,45.01630646806008,50,54.01956776167209,8,31.606150771755598,9.5,0.1039794883479599,Low,Clear,Wednesday,Off-Peak,36.028168328604124,CH2,Low,-18.20184550391232,60.02174195741346,0,Weekday,427.65491144657074,Medium
2025-01-01 00:45:00,ST008,Urban,EV10003,Two-Wheeler,2025-01-01 00:45:00,2025-01-01 00:54:00,2025-01-01 03:29:00,9,40,29.27082512699581,100.0,28.29166994920168,11,155.77336972922916,3,21.803049874792027,6.22,0.2485530730333811,Low,Clear,Wednesday,Off-Peak,17.14693508594421,CH9,Medium,-7.404017783956974,70.72917487300418,0,Weekday,175.97418708403444,Short
2025-01-01 01:00:00,ST008,Highway,EV10004,Two-Wheeler,2025-01-01 01:00:00,2025-01-01 01:08:00,2025-01-01 06:14:00,8,75,25.58555380447055,100.0,55.81083464664709,11,306.3694790025375,5,15.62626584911117,13.42,0.2349262400109297,Low,Cloudy,Wednesday,Off-Peak,14.577768209129315,CH1,Low,-6.577465969494343,74.41444619552945,1,Weekday,748.9814009580039,Short
2025-01-01 01:15:00,ST014,Highway,EV10005,Bus,2025-01-01 01:15:00,2025-01-01 01:18:00,2025-01-01 02:15:00,3,75,39.89499894055426,100.0,45.0787507945843,50,57.82379866262832,0,20.41668520051648,14.61,0.3533601546034455,Low,Clear,Wednesday,Off-Peak,22.88988630189029,CH4,Medium,3.517467598000069,60.10500105944574,1,Weekday,658.6005491088766,Short
2025-01-01 01:30:00,ST004,Urban,EV10006,Bus,2025-01-01 01:30:00,2025-01-01 01:51:00,2025-01-01 02:23:00,21,30,24.04672548436904,100.0,22.78598235468929,50,32.69810476071399,2,15.30533878126005,5.16,0.2270204442119109,Low,Clear,Wednesday,Off-Peak,14.254153963015746,CH6,Medium,-18.25045442989468,75.95327451563097,1,Weekday,117.57566895019673,Medium
2025-01-01 01:45:00,ST020,Highway,EV10007,Car,2025-01-01 01:45:00,2025-01-01 01:49:00,2025-01-01 02:51:00,4,60,19.942120204440258,100.0,48.03472787733584,50,62.11333510334682,7,18.48089303468181,8.58,0.1347607178575389,Low,Rainy,Wednesday,Off-Peak,22.11192729343774,CH8,High,-7.153357071210194,80.05787979555974,1,Weekday,412.1379651875415,Short
2025-01-01 02:00:00,ST004,Highway,EV10008,Car,2025-01-01 02:00:00,2025-01-01 02:02:00,2025-01-01 03:11:00,2,100,46.480308916903205,100.0,53.5196910830968,50,69.72186417864026,6,23.6585374950758,14.72,0.3546741472798251,Low,Rainy,Wednesday,Off-Peak,25.87583270672453,CH5,High,0.9085169193795952,53.519691083096795,2,Weekday,787.8098527431849,Short
2025-01-01 02:15:00,ST020,Highway,EV10009,Two-Wheeler,2025-01-01 02:15:00,2025-01-01 02:16:00,2025-01-01 03:59:00,1,60,36.1366414690997,99.54003543309511,38.04203637839725,22,103.75100830471976,2,16.034384046707924,13.96,0.2426110669546335,Low,Clear,Wednesday,Off-Peak,16.66713976647176,CH2,Low,2.0714551992974206,63.40339396399541,2,Weekday,531.0668278424256,Short
2025-01-01 02:30:00,ST008,Highway,EV10010,Car,2025-01-01 02:30:00,2025-01-01 02:36:00,2025-01-01 11:38:00,6,100,36.992054565083656,100.0,63.00794543491634,7,542.187819076809,2,30.59395304685146,13.08,0.2900211269531271,Low,Clear,Wednesday,Off-Peak,34.30855894872864,CH2,Medium,-4.41815680077648,63.007945434916344,2,Weekday,824.1439262887056,Short
2025-01-01 02:45:00,ST009,Highway,EV10011,Two-Wheeler,2025-01-01 02:45:00,2025-01-01 02:52:00,2025-01-01 04:03:00,7,75,20.92202186084168,100.0,59.30848360436874,50,71.65556807198269,7,33.14880310328125,13.96,0.1954010424915591,Low,Cloudy,Wednesday,Off-Peak,29.24932234855802,CH3,Medium,-11.267729345909476,79.07797813915832,2,Weekday,827.9464311169877,Short
2025-01-01 03:00:00,ST012,Urban,EV10012,Two-Wheeler,2025-01-01 03:00:00,2025-01-01 03:08:00,2025-01-01 05:28:00,8,75,27.62844281670845,96.42251901567704,51.59555714922644,22,140.71515586152665,5,23.348220062975575,7.22,0.1359596102001048,Low,Cloudy,Wednesday,Off-Peak,21.724371777011857,CH2,High,-11.09085570659197,68.79407619896858,3,Weekday,372.51992261741486,Short
2025-01-01 03:15:00,ST006,Urban,EV10013,Car,2025-01-01 03:15:00,2025-01-01 03:23:00,2025-01-01 04:05:00,8,60,26.160146601037763,85.47500229383843,35.588913415680395,50,42.70669609881648,8,19.29784494217963,7.54,0.1740628188515803,Low,Cloudy,Wednesday,Off-Peak,21.260887670577517,CH7,Medium,-10.637684422888515,59.31485569280066,3,Weekday,268.3404071542302,Short
2025-01-01 03:30:00,ST018,Urban,EV10014,Two-Wheeler,2025-01-01 03:30:00,2025-01-01 03:36:00,2025-01-01 05:43:00,6,30,23.33905071376425,100.0,22.998284785870723,11,127.73226798470874,3,18.57292928473223,14.08,0.1718685672000917,Low,Cloudy,Wednesday,Off-Peak,15.02187800564446,CH1,Low,-6.058528840943693,76.66094928623575,3,Weekday,323.8158497850598,Short
2025-01-01 03:45:00,ST002,Highway,EV10015,Bus,2025-01-01 03:45:00,2025-01-01 03:55:00,2025-01-01 08:35:00,10,75,32.38915822865458,100.0,50.70813132850907,11,280.42629143994515,1,26.23239230657435,7.38,0.3184649045835579,Low,Cloudy,Wednesday,Off-Peak,24.910223633766883,CH2,Low,-6.192531323808133,67.61084177134542,3,Weekday,374.2260092043969,Short
2025-01-01 04:00:00,ST019,Highway,EV10016,Car,2025-01-01 04:00:00,2025-01-01 04:17:00,2025-01-01 04:59:00,17,60,50.8215936609692,100.0,29.50704380341848,50,42.37008133156169,3,16.730370207997083,5.41,0.2772678829564726,Low,Rainy,Wednesday,Off-Peak,18.50601382641991,CH8,Medium,-13.52803755290524,49.1784063390308,4,Weekday,159.633106976494,Medium
2025-01-01 04:15:00,ST015,Urban,EV10017,Bus,2025-01-01 04:15:00,2025-01-01 04:29:00,2025-01-01 06:01:00,14,60,45.55747662190089,100.0,32.66551402685946,22,92.33319919094409,1,14.48732858009983,11.91,0.2160206038901612,Low,Clear,Wednesday,Off-Peak,18.85462846746717,CH4,High,-10.916847599315128,54.44252337809911,4,Weekday,389.0462720598962,Medium
